Code	Central Value of the range	Central Value of the range	Positive Or Negative Consumption
0	0%	0	Positive
1	"0,0025%"	0.0025	
2	"0,0051%"	0.0051	
3	"0,005304%"	0.005304	
4	"0,00551616%"	0.00551616	
5	"0,0057368064%"	0.005736806	
6	"0,005966278656%"	0.005966279	
7	"0,00620492980224%"	0.00620493	
8	"0,0064531269943296%"	0.006453127	
9	"0,00671125207410278%"	0.006711252	
10	"0,0069797021570669%"	0.006979702	
11	"0,00725889024334957%"	0.00725889	
12	"0,00754924585308355%"	0.007549246	
13	"0,0078512156872069%"	0.007851216	
14	"0,00816526431469517%"	0.008165264	
15	"0,00849187488728298%"	0.008491875	
16	"0,0088315498827743%"	0.00883155	
17	"0,00918481187808528%"	0.009184812	
18	"0,00955220435320869%"	0.009552204	
19	"0,00993429252733706%"	0.009934293	
20	"0,0103316642284305%"	0.010331664	
21	"0,0107449307975677%"	0.010744931	
22	"0,0111747280294704%"	0.011174728	
23	"0,0116217171506493%"	0.011621717	
24	"0,0120865858366752%"	0.012086586	
25	"0,0125700492701422%"	0.012570049	
26	"0,0130728512409479%"	0.013072851	
27	"0,0135957652905858%"	0.013595765	
28	"0,0141395959022093%"	0.014139596	
29	"0,0147051797382977%"	0.01470518	
30	"0,0152933869278296%"	0.015293387	
31	"0,0159051224049428%"	0.015905122	
32	"0,0165413273011405%"	0.016541327	
33	"0,017202980393186%"	0.01720298	
34	"0,0178910996089135%"	0.0178911	
35	"0,01860674359327%"	0.018606744	
36	"0,0193510133370009%"	0.019351013	
37	"0,0201250538704809%"	0.020125054	
38	"0,0209300560253002%"	0.020930056	
39	"0,0217672582663122%"	0.021767258	
40	"0,0226379485969646%"	0.022637949	
41	"0,0235434665408433%"	0.023543467	
42	"0,0244852052024769%"	0.024485205	
43	"0,025464613410576%"	0.025464613	
44	"0,026483197946999%"	0.026483198	
45	"0,027542525864879%"	0.027542526	
46	"0,0286442268994742%"	0.028644227	
47	"0,0297899959754531%"	0.029789996	
48	"0,0309815958144713%"	0.030981596	
49	"0,0322208596470502%"	0.03222086	
50	"0,0335096940329321%"	0.033509694	
51	"0,0348500817942494%"	0.034850082	
52	"0,0362440850660194%"	0.036244085	
53	"0,0376938484686602%"	0.037693848	
54	"0,0392016024074066%"	0.039201602	
55	"0,0407696665037029%"	0.040769667	
56	"0,042400453163851%"	0.042400453	
57	"0,044096471290405%"	0.044096471	
58	"0,0458603301420212%"	0.04586033	
59	"0,0476947433477021%"	0.047694743	
60	"0,0496025330816102%"	0.049602533	
61	"0,0515866344048746%"	0.051586634	
62	"0,0536500997810695%"	0.0536501	
63	"0,0557961037723123%"	0.055796104	
64	"0,0580279479232048%"	0.058027948	
65	"0,060349065840133%"	0.060349066	
66	"0,0627630284737384%"	0.062763028	
67	"0,0652735496126879%"	0.06527355	
68	"0,0678844915971954%"	0.067884492	
69	"0,0705998712610832%"	0.070599871	
70	"0,0734238661115265%"	0.073423866	
71	"0,0763608207559877%"	0.076360821	
72	"0,0794152535862272%"	0.079415254	
73	"0,0825918637296762%"	0.082591864	
74	"0,0858955382788633%"	0.085895538	
75	"0,0893313598100178%"	0.08933136	
76	"0,0929046142024185%"	0.092904614	
77	"0,0966207987705152%"	0.096620799	
78	"0,100485630721336%"	0.100485631	
79	"0,104505055950189%"	0.104505056	
80	"0,108685258188197%"	0.108685258	
81	"0,113032668515724%"	0.113032669	
82	"0,117553975256353%"	0.117553975	
83	"0,122256134266608%"	0.122256134	
84	"0,127146379637272%"	0.12714638	
85	"0,132232234822764%"	0.132232235	
86	"0,137521524215674%"	0.137521524	
87	"0,1430223851843%"	0.143022385	
88	"0,148743280591672%"	0.148743281	
89	"0,15469301181534%"	0.154693012	
90	"0,160880732287953%"	0.160880732	
91	"0,167315961579471%"	0.167315962	
92	"0,174008600042651%"	0.1740086	
93	"0,180968944044357%"	0.180968944	
94	"0,188207701806131%"	0.188207702	
95	"0,195736009878375%"	0.19573601	
96	"0,203565450273511%"	0.20356545	
97	"0,211708068284451%"	0.211708068	
98	"0,220176391015829%"	0.220176391	
99	"0,228983446656462%"	0.228983447	
100	"0,238142784522721%"	0.238142785	
101	"0,247668495903629%"	0.247668496	
102	"0,257575235739775%"	0.257575236	
103	"0,267878245169366%"	0.267878245	
104	"0,27859337497614%"	0.278593375	
105	"0,289737109975186%"	0.28973711	
106	"0,301326594374194%"	0.301326594	
107	"0,313379658149161%"	0.313379658	
108	"0,325914844475128%"	0.325914844	
109	"0,338951438254133%"	0.338951438	
110	"0,352509495784299%"	0.352509496	
111	"0,36660987561567%"	0.366609876	
112	"0,381274270640297%"	0.381274271	
113	"0,396525241465909%"	0.396525241	
114	"0,412386251124546%"	0.412386251	
115	"0,428881701169527%"	0.428881701	
116	"0,446036969216308%"	0.446036969	
117	"0,46387844798496%"	0.463878448	
118	"0,482433585904359%"	0.482433586	
119	"0,501730929340534%"	0.501730929	
120	"0,521800166514155%"	0.521800167	
121	"0,542672173174721%"	0.542672173	
122	"0,56437906010171%"	0.56437906	
123	"0,586954222505778%"	0.586954223	
124	"0,610432391406009%"	0.610432391	
125	"0,63484968706225%"	0.634849687	
126	"0,66024367454474%"	0.660243675	
127	"0,686653421526529%"	0.686653422	
128	"0,714119558387591%"	0.714119558	
129	"0,742684340723094%"	0.742684341	
130	"0,772391714352018%"	0.772391714	
131	"0,803287382926098%"	0.803287383	
132	"0,835418878243142%"	0.835418878	
133	"0,868835633372868%"	0.868835633	
134	"0,903589058707783%"	0.903589059	
135	"0,939732621056095%"	0.939732621	
